p,ω,θ,v,ρ
2,1.0,0.020000000000000028,1,0.821396379308164
2,1.0,-0.01999999999999996,10,0.8213963793081638
2,1.0,0.020000000000000028,11,0.9846478138984817
2,1.0,-0.01999999999999996,12,1.1184639165523789
2,1.0,0.020000000000000028,21,1.1184639165523784
2,1.0,0.020000000000000028,22,1.2790265749201497
2,0.8378970103285274,0.020000000000000028,1,0.5261425808454836
2,0.8378970103285274,-0.01999999999999996,10,0.5261425808454837
2,0.8378970103285274,0.10000000000000007,11,0.49456882314243367
2,0.8378970103285274,-0.01999999999999996,12,0.37176417656292093
2,0.8378970103285274,0.020000000000000028,21,0.3717641765629209
2,0.8378970103285274,-0.01999999999999996,22,0.3017710335040991
2,0.7088607594936709,-0.01999999999999996,1,0.2911164207753326
2,0.7088607594936709,-0.01999999999999996,10,0.2911164207753326
2,0.7088607594936709,-0.3,11,0.24926350111476192
2,0.7088607594936709,0.020000000000000028,12,0.08964542592959102
2,0.7088607594936709,0.020000000000000028,21,0.08964542592959117
2,0.7088607594936709,0.52,22,0.06373717298610453
3,0.65,1.0,1,0.49145438758683757
3,0.65,-0.01999999999999996,11,0.3368714171200718
3,0.65,0.020000000000000028,22,0.13066780124498878
4,0.64,-0.01999999999999996,1,0.6082399076807238
4,0.64,0.020000000000000028,11,0.5588679869887541
4,0.64,0.020000000000000028,22,0.3309510972872547
2,1.0,-0.07999999999999997,1,0.45232255281998557
2,1.0,-0.07999999999999997,1,0.45232255281998557
2,1.0,0.3,11,0.28836586636553563
2,1.0,0.28000000000000014,11,0.28836586636553563
2,1.0,0.020000000000000028,12,0.12309766092818364
2,1.0,7.067899292141149e-17,12,0.12309766092818364
2,1.0,0.020000000000000028,21,0.12309766092818365
2,1.0,7.067899292141149e-17,21,0.12309766092818365
2,1.0,7.067899292141149e-17,22,0.09142690338236484
2,1.0,1.3000000000000003,22,0.09142690338236484
